countyFIPS,County_Name,State_x,Intervention,intervention_032520,first_case_date,cnty_name,hospitals,icu_beds,Geographic_area_1,Housing_units,Area_sq_miles,water_sq_miles,Land_sq_miles,Housing_per_sq_mile,FIPS,Area_name,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_T,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_OVER
01001,Autauga County,AL,1,5,3/25/20,Autauga,1.0,6.0,Autauga County,22135.0,604.39,9.95,594.44,37.2,1001,"Autauga County, AL",3.6,59338,118.96,Autauga County,55601.0,26995.0,28606.0,20859.0,21801.0,5153.0,5762.0,121.0,146.0,301.0,380.0,33.0,29.0,528.0,488.0,21334.0,22246.0,5442.0,6021.0,277.0,294.0,453.0,509.0,58.0,59.0,26135.0,27817.0,20157.0,21159.0,5074.0,5681.0,105.0,138.0,297.0,373.0,20.0,23.0,482.0,443.0,20596.0,21566.0,5334.0,5919.0,241.0,261.0,434.0,492.0,36.0,47.0,860.0,789.0,702.0,642.0,79.0,81.0,16.0,8.0,4.0,7.0,13.0,6.0,46.0,45.0,738.0,680.0,108.0,102.0,36.0,33.0,19.0,17.0,22.0,12.0,2589.0,2311.0,1739.0,1143.0,871.0
01003,Baldwin County,AL,1,5,3/15/20,Baldwin,3.0,51.0,Baldwin County,104061.0,2027.31,437.53,1589.78,65.5,1003,"Baldwin County, AL",3.6,57588,115.45,Baldwin County,218022.0,105657.0,112365.0,92471.0,97830.0,9400.0,10092.0,886.0,798.0,933.0,1575.0,73.0,73.0,1894.0,1997.0,94249.0,99703.0,10187.0,10936.0,1768.0,1707.0,1374.0,2030.0,176.0,178.0,100355.0,107536.0,87729.0,93472.0,9233.0,9918.0,746.0,715.0,912.0,1561.0,49.0,62.0,1686.0,1808.0,89325.0,95187.0,9928.0,10683.0,1509.0,1515.0,1305.0,1973.0,120.0,144.0,5302.0,4829.0,4742.0,4358.0,167.0,174.0,140.0,83.0,21.0,14.0,24.0,11.0,208.0,189.0,4924.0,4516.0,259.0,253.0,259.0,192.0,69.0,57.0,56.0,34.0,14267.0,12471.0,8465.0,5064.0,4304.0
01015,Calhoun County,AL,1,5,3/19/20,Calhoun,2.0,24.0,Calhoun County,53289.0,612.29,6.42,605.87,88.0,1015,"Calhoun County, AL",4.7,45400,91.02,Calhoun County,114277.0,54914.0,59363.0,41758.0,44268.0,11230.0,12923.0,317.0,300.0,435.0,667.0,62.0,64.0,1112.0,1141.0,42776.0,45316.0,11842.0,13560.0,701.0,702.0,681.0,931.0,137.0,144.0,52602.0,57206.0,39847.0,42461.0,11050.0,12777.0,243.0,225.0,417.0,648.0,51.0,52.0,994.0,1043.0,40765.0,43428.0,11596.0,13360.0,580.0,580.0,632.0,886.0,110.0,118.0,2312.0,2157.0,1911.0,1807.0,180.0,146.0,74.0,75.0,18.0,19.0,11.0,12.0,118.0,98.0,2011.0,1888.0,246.0,200.0,121.0,122.0,49.0,45.0,27.0,26.0,6769.0,5307.0,3672.0,2388.0,2111.0
01017,Chambers County,AL,1,5,3/20/20,Chambers,0.0,0.0,Chambers County,17004.0,603.11,6.58,596.53,28.5,1017,"Chambers County, AL",3.9,39917,80.02,Chambers County,33615.0,16093.0,17522.0,9291.0,9891.0,6253.0,7193.0,55.0,48.0,279.0,167.0,10.0,5.0,205.0,218.0,9477.0,10096.0,6379.0,7332.0,134.0,110.0,299.0,197.0,16.0,18.0,15617.0,17137.0,8973.0,9593.0,6158.0,7142.0,37.0,41.0,264.0,162.0,4.0,4.0,181.0,195.0,9136.0,9778.0,6268.0,7269.0,110.0,91.0,282.0,189.0,8.0,13.0,476.0,385.0,318.0,298.0,95.0,51.0,18.0,7.0,15.0,5.0,6.0,1.0,24.0,23.0,341.0,318.0,111.0,63.0,24.0,19.0,17.0,8.0,8.0,5.0,2073.0,1767.0,1205.0,768.0,749.0
01043,Cullman County,AL,1,5,3/21/20,Cullman,1.0,12.0,Cullman County,37054.0,755.02,20.18,734.84,50.4,1043,"Cullman County, AL",3.3,45796,91.81,Cullman County,83442.0,41245.0,42197.0,39513.0,40472.0,614.0,502.0,268.0,271.0,216.0,345.0,36.0,36.0,598.0,571.0,40082.0,41007.0,812.0,694.0,622.0,592.0,289.0,422.0,60.0,61.0,39355.0,40388.0,37824.0,38822.0,546.0,460.0,228.0,227.0,202.0,331.0,26.0,28.0,529.0,520.0,38330.0,39316.0,711.0,627.0,544.0,524.0,267.0,395.0,46.0,48.0,1890.0,1809.0,1689.0,1650.0,68.0,42.0,40.0,44.0,14.0,14.0,10.0,8.0,69.0,51.0,1752.0,1691.0,101.0,67.0,78.0,68.0,22.0,27.0,14.0,13.0,4872.0,4205.0,3016.0,1903.0,1450.0
01051,Elmore County,AL,1,5,3/14/20,Elmore,2.0,5.0,Elmore County,32657.0,657.04,38.56,618.48,52.8,1051,"Elmore County, AL",3.4,60367,121.02,Elmore County,81887.0,39585.0,42302.0,29753.0,32047.0,8636.0,8934.0,225.0,200.0,260.0,321.0,50.0,45.0,661.0,755.0,30356.0,32734.0,8953.0,9303.0,457.0,490.0,419.0,494.0,78.0,74.0,38398.0,41022.0,28777.0,30994.0,8556.0,8816.0,176.0,156.0,251.0,310.0,34.0,32.0,604.0,714.0,29334.0,31646.0,8842.0,9164.0,384.0,424.0,401.0,479.0,57.0,55.0,1187.0,1280.0,976.0,1053.0,80.0,118.0,49.0,44.0,9.0,11.0,16.0,13.0,57.0,41.0,1022.0,1088.0,111.0,139.0,73.0,66.0,18.0,15.0,21.0,19.0,4113.0,3432.0,2326.0,1365.0,1164.0
01059,Franklin County,AL,1,5,3/23/20,Franklin,2.0,7.0,Franklin County,14022.0,646.52,12.7,633.82,22.1,1059,"Franklin County, AL",3.7,39388,78.96,Franklin County,31363.0,15823.0,15540.0,14370.0,14368.0,803.0,624.0,276.0,209.0,51.0,56.0,27.0,51.0,296.0,232.0,14649.0,14585.0,929.0,738.0,434.0,316.0,77.0,77.0,35.0,60.0,12651.0,13145.0,11629.0,12262.0,676.0,542.0,84.0,70.0,38.0,42.0,6.0,36.0,218.0,193.0,11841.0,12444.0,769.0,642.0,198.0,156.0,57.0,57.0,7.0,42.0,3172.0,2395.0,2741.0,2106.0,127.0,82.0,192.0,139.0,13.0,14.0,21.0,15.0,78.0,39.0,2808.0,2141.0,160.0,96.0,236.0,160.0,20.0,20.0,28.0,18.0,1641.0,1364.0,1025.0,701.0,565.0
01069,Houston County,AL,1,5,3/23/20,Houston,2.0,66.0,Houston County,45319.0,581.65,1.83,579.82,78.2,1069,"Houston County, AL",4.0,47993,96.22,Houston County,104722.0,50286.0,54436.0,35160.0,37164.0,13301.0,15190.0,260.0,306.0,459.0,651.0,42.0,57.0,1064.0,1068.0,36111.0,38086.0,13876.0,15796.0,633.0,687.0,663.0,866.0,108.0,122.0,48386.0,52735.0,33632.0,35818.0,13151.0,15040.0,186.0,237.0,441.0,631.0,25.0,37.0,951.0,972.0,34488.0,36655.0,13670.0,15596.0,506.0,580.0,625.0,826.0,79.0,91.0,1900.0,1701.0,1528.0,1346.0,150.0,150.0,74.0,69.0,18.0,20.0,17.0,20.0,113.0,96.0,1623.0,1431.0,206.0,200.0,127.0,107.0,38.0,40.0,29.0,31.0,5936.0,4985.0,3373.0,2308.0,2037.0
01071,Jackson County,AL,1,5,3/21/20,Jackson,1.0,10.0,Jackson County,24786.0,1126.77,48.9,1077.87,23.0,1071,"Jackson County, AL",4.1,41929,84.06,Jackson County,51736.0,25390.0,26346.0,23188.0,24027.0,923.0,932.0,423.0,447.0,135.0,168.0,30.0,27.0,691.0,745.0,23863.0,24738.0,1105.0,1146.0,889.0,957.0,183.0,209.0,45.0,45.0,24578.0,25630.0,22589.0,23491.0,868.0,898.0,350.0,378.0,105.0,140.0,18.0,13.0,648.0,710.0,23222.0,24171.0,1035.0,1100.0,792.0,865.0,150.0,179.0,30.0,29.0,812.0,716.0,599.0,536.0,55.0,34.0,73.0,69.0,30.0,28.0,12.0,14.0,43.0,35.0,641.0,567.0,70.0,46.0,97.0,92.0,33.0,30.0,15.0,16.0,3266.0,2814.0,2044.0,1292.0,957.0
01073,Jefferson County,AL,1,5,3/14/20,Jefferson,8.0,471.0,Jefferson County,300552.0,1123.81,12.54,1111.28,270.5,1073,"Jefferson County, AL",3.7,55013,110.29,Jefferson County,659300.0,311591.0,347709.0,170241.0,180216.0,130757.0,155744.0,925.0,967.0,5541.0,6135.0,140.0,236.0,3987.0,4411.0,173706.0,183976.0,132938.0,158247.0,2229.0,2473.0,6636.0,7319.0,283.0,390.0,297651.0,335403.0,158044.0,169627.0,129681.0,154649.0,629.0,734.0,5491.0,6087.0,56.0,162.0,3750.0,4144.0,161308.0,173164.0,131750.0,157004.0,1843.0,2129.0,6526.0,7213.0,169.0,290.0,13940.0,12306.0,12197.0,10589.0,1076.0,1095.0,296.0,233.0,50.0,48.0,84.0,74.0,237.0,267.0,12398.0,10812.0,1188.0,1243.0,386.0,344.0,110.0,106.0,114.0,100.0,35993.0,25592.0,17412.0,12107.0,13443.0
