STATE,COUNTY,FIPS,STNAME,CNTYNAME,POP
1,0,1000,Alabama,Alabama,4858979
1,1,1001,Alabama,Autauga County,55347
1,3,1003,Alabama,Baldwin County,203709
1,5,1005,Alabama,Barbour County,26489
1,7,1007,Alabama,Bibb County,22583
1,9,1009,Alabama,Blount County,57673
1,11,1011,Alabama,Bullock County,10696
1,13,1013,Alabama,Butler County,20154
1,15,1015,Alabama,Calhoun County,115620
1,17,1017,Alabama,Chambers County,34123
1,19,1019,Alabama,Cherokee County,25859
1,21,1021,Alabama,Chilton County,43943
1,23,1023,Alabama,Choctaw County,13170
1,25,1025,Alabama,Clarke County,24675
1,27,1027,Alabama,Clay County,13555
1,29,1029,Alabama,Cleburne County,15018
1,31,1031,Alabama,Coffee County,51211
1,33,1033,Alabama,Colbert County,54354
1,35,1035,Alabama,Conecuh County,12672
1,37,1037,Alabama,Coosa County,10724
1,39,1039,Alabama,Covington County,37835
1,41,1041,Alabama,Crenshaw County,13963
1,43,1043,Alabama,Cullman County,82005
1,45,1045,Alabama,Dale County,49565
1,47,1047,Alabama,Dallas County,41131
1,49,1049,Alabama,DeKalb County,71130
1,51,1051,Alabama,Elmore County,81468
1,53,1053,Alabama,Escambia County,37789
1,55,1055,Alabama,Etowah County,103057
1,57,1057,Alabama,Fayette County,16759
1,59,1059,Alabama,Franklin County,31696
1,61,1061,Alabama,Geneva County,26777
1,63,1063,Alabama,Greene County,8479
1,65,1065,Alabama,Hale County,15068
1,67,1067,Alabama,Henry County,17221
1,69,1069,Alabama,Houston County,104173
1,71,1071,Alabama,Jackson County,52419
1,73,1073,Alabama,Jefferson County,660367
1,75,1075,Alabama,Lamar County,13886
1,77,1077,Alabama,Lauderdale County,92596
1,79,1079,Alabama,Lawrence County,33115
1,81,1081,Alabama,Lee County,156993
1,83,1083,Alabama,Limestone County,91663
1,85,1085,Alabama,Lowndes County,10458
1,87,1087,Alabama,Macon County,19105
1,89,1089,Alabama,Madison County,353089
1,91,1091,Alabama,Marengo County,20028
1,93,1093,Alabama,Marion County,30168
1,95,1095,Alabama,Marshall County,94725
1,97,1097,Alabama,Mobile County,415395
1,99,1099,Alabama,Monroe County,21673
1,101,1101,Alabama,Montgomery County,226519
1,103,1103,Alabama,Morgan County,119565
1,105,1105,Alabama,Perry County,9652
1,107,1107,Alabama,Pickens County,20864
1,109,1109,Alabama,Pike County,33046
1,111,1111,Alabama,Randolph County,22696
1,113,1113,Alabama,Russell County,59660
1,115,1115,Alabama,St. Clair County,87074
1,117,1117,Alabama,Shelby County,208713
1,119,1119,Alabama,Sumter County,13103
1,121,1121,Alabama,Talladega County,80862
1,123,1123,Alabama,Tallapoosa County,40844
1,125,1125,Alabama,Tuscaloosa County,203976
1,127,1127,Alabama,Walker County,65294
1,129,1129,Alabama,Washington County,16804
1,131,1131,Alabama,Wilcox County,11059
1,133,1133,Alabama,Winston County,23877
2,0,2000,Alaska,Alaska,738432
