stateFIPS,stateAbbr,lat,lon,stateName
1,AL,32.6010112,-86.6807365,Alabama
2,AK,61.3025006,-158.7750198,Alaska
4,AZ,34.1682185,-111.930907,Arizona
5,AR,34.7519275,-92.1313784,Arkansas
6,CA,37.2718745,-119.2704153,California
8,CO,38.9979339,-105.550567,Colorado
9,CT,41.5187835,-72.757507,Connecticut
10,DE,39.145251,-75.4189206,Delaware
11,DC,38.8993487,-77.0145666,"Washington, D.C."
12,FL,27.9757279,-83.8330166,Florida
13,GA,32.6781248,-83.2229757,Georgia
15,HI,20.46,-157.505,Hawaii
16,ID,45.4945756,-114.1424303,Idaho
17,IL,39.739318,-89.504139,Illinois
18,IN,39.7662195,-86.441277,Indiana
19,IA,41.9383166,-93.389798,Iowa
20,KS,38.4987789,-98.3200779,Kansas
21,KY,37.8222935,-85.7682399,Kentucky
22,LA,30.9733766,-91.4299097,Louisiana
23,ME,45.2185133,-69.0148656,Maine
24,MD,38.8063524,-77.2684162,Maryland
25,MA,42.0629398,-71.718067,Massachusetts
26,MI,44.9435598,-86.4158049,Michigan
27,MN,46.4418595,-93.3655146,Minnesota
28,MS,32.5851062,-89.8772196,Mississippi
29,MO,38.3046615,-92.437099,Missouri
30,MT,46.6797995,-110.044783,Montana
31,NE,41.5008195,-99.680902,Nebraska
32,NV,38.502032,-117.0230604,Nevada
33,NH,44.0012306,-71.5799231,New Hampshire
34,NJ,40.1430058,-74.7311156,New Jersey
35,NM,34.1662325,-106.0260685,New Mexico
36,NY,40.7056258,-73.97968,New York
37,NC,35.2145629,-79.8912675,North Carolina
38,ND,47.4678819,-100.3022655,North Dakota
39,OH,40.1903624,-82.6692525,Ohio
40,OK,35.3097654,-98.7165585,Oklahoma
41,OR,44.1419049,-120.5380993,Oregon
42,PA,40.9945928,-77.6046984,Pennsylvania
44,RI,41.5827282,-71.5064508,Rhode Island
45,SC,33.62505,-80.9470381,South Carolina
46,SD,44.2126995,-100.2471641,South Dakota
47,TN,35.830521,-85.9785989,Tennessee
48,TX,31.1693363,-100.0768425,Texas
49,UT,39.4997605,-111.547028,Utah
50,VT,43.8717545,-72.4477828,Vermont
51,VA,38.0033855,-79.4587861,Virginia
53,WA,38.8993487,-77.0145665,Washington
54,WV,38.9201705,-80.1816905,West Virginia
55,WI,44.7862968,-89.8267049,Wisconsin
56,WY,43.000325,-107.5545669,Wyoming
60,AS,-14.301596,-170.700295,American Samoa
66,GU,13.461342,144.781933,Guam
69,MP,15.170528,145.735855,Northern Mariana Islands
72,PR,18.213895,-66.445343,Puerto Rico
78,VI,17.730048,-64.754484,U.S. Virgin Islands
